"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","641","TC03 Gecerli kullanici girisi","firefox","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","690","TC02 Gecerli kullanici girisi","firefox","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","21374","TC01 Gecerli kullanici girisi","firefox","2026-09-24","passed","2026-09-24","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","729","TC01 Gecerli kullanici girisi","firefox","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","509","TC01 Gecerli kullanici girisi","chromium","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","571","TC03 Gecerli kullanici girisi","webkit","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","25751","TC01 Gecerli kullanici girisi","chromium","2026-09-24","passed","2026-09-24","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","366","TC02 Gecerli kullanici girisi","chromium","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","726","TC01 Gecerli kullanici girisi","webkit","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","309","TC03 Gecerli kullanici girisi","chromium","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","28531","TC01 Gecerli kullanici girisi","webkit","2026-09-24","passed","2026-09-24","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","673","TC02 Gecerli kullanici girisi","webkit","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
